date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:02:24	63904/63904	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2009:08:08%20GMT	http://sa:123@crypto-admin-templates.multipurposethemes.com/src3/index.html	E:/Download%20Project/MoneyExchange/crypto-admin-templates.multipurposethemes.com/src3/index.html	(from )
11:02:25	179/179	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Sep%202018%2004:32:27%20GMT	http://sa:123@crypto-admin-templates.multipurposethemes.com/robots.txt		(from )
11:02:26	178152/178152	---MCZ	200	added ('OK')	text/css	etag:W/%225a9b06e2-2b7e8%22	http://sa:123@crypto-admin-templates.multipurposethemes.com/assets/vendor_components/bootstrap/dist/css/bootstrap.css	E:/Download%20Project/MoneyExchange/crypto-admin-templates.multipurposethemes.com/assets/vendor_components/bootstrap/dist/css/bootstrap.css	(from http://sa:123@crypto-admin-templates.multipurposethemes.com/src3/index.html)
11:02:27	33520/33520	---MCZ	200	added ('OK')	text/css	etag:W/%225930021a-8821%22	https://www.amcharts.com/lib/3/plugins/export/export.css	E:/Download%20Project/MoneyExchange/www.amcharts.com/lib/3/plugins/export/export.css	(from http://sa:123@crypto-admin-templates.multipurposethemes.com/src3/index.html)
11:02:28	237015/237015	---MCZ	200	added ('OK')	text/css	etag:W/%225b1e3c00-39dd7%22	http://sa:123@crypto-admin-templates.multipurposethemes.com/src3/css/bootstrap-extend.css	E:/Download%20Project/MoneyExchange/crypto-admin-templates.multipurposethemes.com/src3/css/bootstrap-extend.css	(from http://sa:123@crypto-admin-templates.multipurposethemes.com/src3/index.html)
11:02:30	55582/55582	---MCZ	200	added ('OK')	text/css	etag:W/%225b1e3bfa-d91e%22	http://sa:123@crypto-admin-templates.multipurposethemes.com/src3/css/skins/_all-skins.css	E:/Download%20Project/MoneyExchange/crypto-admin-templates.multipurposethemes.com/src3/css/skins/_all-skins.css	(from http://sa:123@crypto-admin-templates.multipurposethemes.com/src3/index.html)
11:02:30	340739/340739	---MCZ	200	added ('OK')	text/css	etag:W/%225b1e3c04-53303%22	http://sa:123@crypto-admin-templates.multipurposethemes.com/src3/css/master_style.css	E:/Download%20Project/MoneyExchange/crypto-admin-templates.multipurposethemes.com/src3/css/master_style.css	(from http://sa:123@crypto-admin-templates.multipurposethemes.com/src3/index.html)
11:02:30	16385/16385	---M--	200	added ('OK')	image/png	etag:%225aad5fe6-4001%22	http://sa:123@crypto-admin-templates.multipurposethemes.com/images/logo-light.png	E:/Download%20Project/MoneyExchange/crypto-admin-templates.multipurposethemes.com/images/logo-light.png	(from http://sa:123@crypto-admin-templates.multipurposethemes.com/src3/index.html)
11:02:31	16492/16492	---M--	200	added ('OK')	image/png	etag:%225aad5fda-406c%22	http://sa:123@crypto-admin-templates.multipurposethemes.com/images/logo-dark.png	E:/Download%20Project/MoneyExchange/crypto-admin-templates.multipurposethemes.com/images/logo-dark.png	(from http://sa:123@crypto-admin-templates.multipurposethemes.com/src3/index.html)
11:02:32	16558/16558	---M--	200	added ('OK')	image/png	etag:%225aad5e56-40ae%22	http://sa:123@crypto-admin-templates.multipurposethemes.com/images/logo-light-text.png	E:/Download%20Project/MoneyExchange/crypto-admin-templates.multipurposethemes.com/images/logo-light-text.png	(from http://sa:123@crypto-admin-templates.multipurposethemes.com/src3/index.html)
11:02:33	16310/16310	---M--	200	added ('OK')	image/png	etag:%225aad5e4a-3fb6%22	http://sa:123@crypto-admin-templates.multipurposethemes.com/images/logo-dark-text.png	E:/Download%20Project/MoneyExchange/crypto-admin-templates.multipurposethemes.com/images/logo-dark-text.png	(from http://sa:123@crypto-admin-templates.multipurposethemes.com/src3/index.html)
11:02:35	17625/17625	---M--	200	added ('OK')	image/jpeg	etag:%225adde42e-44d9%22	http://sa:123@crypto-admin-templates.multipurposethemes.com/images/user3-128x128.jpg	E:/Download%20Project/MoneyExchange/crypto-admin-templates.multipurposethemes.com/images/user3-128x128.jpg	(from http://sa:123@crypto-admin-templates.multipurposethemes.com/src3/index.html)
